Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
22/03/2020,Northern Ireland,Pillar 2,0,0
22/03/2020,Scotland,Pillar 2,0,0
22/03/2020,Wales,Pillar 2,Not available,Not available
23/03/2020,England,Pillar 1,2018,11050
23/03/2020,Northern Ireland,Pillar 1,42,186
23/03/2020,Scotland,Pillar 1,145,733
23/03/2020,Wales,Pillar 1,Not available,Not available
23/03/2020,England,Pillar 2,0,0
23/03/2020,Northern Ireland,Pillar 2,0,0
23/03/2020,Scotland,Pillar 2,0,0
23/03/2020,Wales,Pillar 2,Not available,Not available
24/03/2020,England,Pillar 1,2025,13075
24/03/2020,Northern Ireland,Pillar 1,41,227
24/03/2020,Scotland,Pillar 1,169,902
24/03/2020,Wales,Pillar 1,Not available,Not available
24/03/2020,England,Pillar 2,0,0
24/03/2020,Northern Ireland,Pillar 2,0,0
24/03/2020,Scotland,Pillar 2,0,0
24/03/2020,Wales,Pillar 2,Not available,Not available
25/03/2020,England,Pillar 1,2266,15341
25/03/2020,Northern Ireland,Pillar 1,58,285
25/03/2020,Scotland,Pillar 1,181,1083
25/03/2020,Wales,Pillar 1,Not available,Not available
25/03/2020,England,Pillar 2,0,0
25/03/2020,Northern Ireland,Pillar 2,0,0
25/03/2020,Scotland,Pillar 2,0,0
25/03/2020,Wales,Pillar 2,Not available,Not available
26/03/2020,England,Pillar 1,2615,17956
26/03/2020,Northern Ireland,Pillar 1,77,362
26/03/2020,Scotland,Pillar 1,221,1304
26/03/2020,Wales,Pillar 1,Not available,Not available
26/03/2020,England,Pillar 2,0,0
26/03/2020,Northern Ireland,Pillar 2,0,0
26/03/2020,Scotland,Pillar 2,0,0
26/03/2020,Wales,Pillar 2,Not available,Not available
27/03/2020,England,Pillar 1,2660,20616
27/03/2020,Northern Ireland,Pillar 1,72,434
27/03/2020,Scotland,Pillar 1,274,1578
27/03/2020,Wales,Pillar 1,Not available,Not available
27/03/2020,England,Pillar 2,0,0
27/03/2020,Northern Ireland,Pillar 2,0,0
27/03/2020,Scotland,Pillar 2,0,0
27/03/2020,Wales,Pillar 2,Not available,Not available
28/03/2020,England,Pillar 1,2377,22993
28/03/2020,Northern Ireland,Pillar 1,78,512
28/03/2020,Scotland,Pillar 1,205,1783
28/03/2020,Wales,Pillar 1,Not available,Not available
28/03/2020,England,Pillar 2,0,0
28/03/2020,Northern Ireland,Pillar 2,0,0
28/03/2020,Scotland,Pillar 2,0,0
28/03/2020,Wales,Pillar 2,Not available,Not available
29/03/2020,England,Pillar 1,2438,25431
29/03/2020,Northern Ireland,Pillar 1,61,573
29/03/2020,Scotland,Pillar 1,197,1980
29/03/2020,Wales,Pillar 1,Not available,Not available
29/03/2020,England,Pillar 2,4,4
29/03/2020,Northern Ireland,Pillar 2,0,0
29/03/2020,Scotland,Pillar 2,0,0
29/03/2020,Wales,Pillar 2,Not available,Not available
30/03/2020,England,Pillar 1,3519,28950
30/03/2020,Northern Ireland,Pillar 1,85,658
30/03/2020,Scotland,Pillar 1,321,2301
30/03/2020,Wales,Pillar 1,Not available,Not available
30/03/2020,England,Pillar 2,8,12
30/03/2020,Northern Ireland,Pillar 2,0,0
30/03/2020,Scotland,Pillar 2,0,0
30/03/2020,Wales,Pillar 2,Not available,Not available
31/03/2020,England,Pillar 1,3765,32715
31/03/2020,Northern Ireland,Pillar 1,113,771
31/03/2020,Scotland,Pillar 1,340,2641
31/03/2020,Wales,Pillar 1,Not available,Not available
31/03/2020,England,Pillar 2,20,32
31/03/2020,Northern Ireland,Pillar 2,0,0
31/03/2020,Scotland,Pillar 2,0,0
31/03/2020,Wales,Pillar 2,Not available,Not available
01/04/2020,England,Pillar 1,4083,36798
01/04/2020,Northern Ireland,Pillar 1,104,875
01/04/2020,Scotland,Pillar 1,384,3025
01/04/2020,Wales,Pillar 1,Not available,Not available
01/04/2020,England,Pillar 2,18,50
01/04/2020,Northern Ireland,Pillar 2,0,0
01/04/2020,Scotland,Pillar 2,0,0
01/04/2020,Wales,Pillar 2,Not available,Not available
02/04/2020,England,Pillar 1,4017,40815
02/04/2020,Northern Ireland,Pillar 1,105,980
02/04/2020,Scotland,Pillar 1,355,3380
02/04/2020,Wales,Pillar 1,Not available,Not available
02/04/2020,England,Pillar 2,57,107
02/04/2020,Northern Ireland,Pillar 2,0,0
02/04/2020,Scotland,Pillar 2,0,0
02/04/2020,Wales,Pillar 2,Not available,Not available
03/04/2020,England,Pillar 1,4047,44862
03/04/2020,Northern Ireland,Pillar 1,104,1084
03/04/2020,Scotland,Pillar 1,379,3759
03/04/2020,Wales,Pillar 1,Not available,Not available
03/04/2020,England,Pillar 2,50,157
03/04/2020,Northern Ireland,Pillar 2,0,0
03/04/2020,Scotland,Pillar 2,0,0
03/04/2020,Wales,Pillar 2,Not available,Not available
04/04/2020,England,Pillar 1,3328,48190
04/04/2020,Northern Ireland,Pillar 1,90,1174
04/04/2020,Scotland,Pillar 1,259,4018
04/04/2020,Wales,Pillar 1,Not available,Not available
04/04/2020,England,Pillar 2,64,221
04/04/2020,Northern Ireland,Pillar 2,0,0
04/04/2020,Scotland,Pillar 2,1,1
04/04/2020,Wales,Pillar 2,Not available,Not available
05/04/2020,England,Pillar 1,3031,51221
05/04/2020,Northern Ireland,Pillar 1,60,1234
05/04/2020,Scotland,Pillar 1,225,4243
05/04/2020,Wales,Pillar 1,Not available,Not available
05/04/2020,England,Pillar 2,53,274
05/04/2020,Northern Ireland,Pillar 2,0,0
05/04/2020,Scotland,Pillar 2,0,1
05/04/2020,Wales,Pillar 2,Not available,Not available
06/04/2020,England,Pillar 1,4331,55552
